,Region,Gender,Marriage,SupportParty,confidence_level,Religon,Nationity,Color,year
1,North_West,Female,Married,Labour,2,No_religion,English,BLACK,2018
4,North_West,Female,Married,Labour,2,Other_Christian,English,BLACK,2018
5,Yorkshire_and_The_Humber,Male,Married,Labour,2,Other_Christian,British,BLACK,2018
7,North_West,Male,Married,Labour,0,Church_of_England,British,BLACK,2018
8,London,Male,Not_married,Labour,1,No_religion,British,BLACK,2018
10,East_Midlands,Female,Living_as_married,Labour,2,No_religion,British,BLACK,2018
11,London,Male,Widowed,Conservative,0,Other_Christian,Other,BLACK,2018
12,Scotland,Male,Married,Conservative,2,Other_Christian,British,BLACK,2018
13,London,Male,Married,Labour,2,Roman_Catholic,European,BLACK,2018
14,North_West,Male,Not_married,Labour,0,Church_of_England,English,BLACK,2018
15,Scotland,Female,Not_married,None,1,Other_Christian,Scottish,BLACK,2018
16,South_East,Female,Not_married,Labour,0,No_religion,English,BLACK,2018
17,East_of_England,Female,Not_married,None,2,Other_Christian,English,BLACK,2018
18,East_of_England,Female,Living_as_married,Conservative,1,No_religion,Other,BLACK,2018
19,East_of_England,Female,Married,Conservative,0,No_religion,English,BLACK,2018
21,West_Midlands,Male,Married,None,2,No_religion,English,BLACK,2018
22,South_East,Male,Married,Conservative,0,Other_Christian,English,BLACK,2018
23,East_of_England,Male,Living_as_married,UKIP,0,No_religion,English,BLACK,2018
24,East_of_England,Male,Married,Conservative,0,Church_of_England,British,BLACK,2018
25,North_West,Female,Separated_after_marrying,Conservative,2,Church_of_England,British,BLACK,2018
26,South_East,Male,Not_married,None,2,Other_Christian,English,BLACK,2018
27,North_West,Male,Married,Conservative,2,Other_Christian,British,ASIAN,2018
29,South_West,Female,Not_married,Conservative,0,Other_Christian,British,BLACK,2018
30,North_East,Female,Widowed,None,2,Other_Christian,British,BLACK,2018
31,South_West,Female,Separated_after_marrying,None,0,Other_Christian,British,BLACK,2018
32,South_West,Female,Widowed,Conservative,2,Church_of_England,British,BLACK,2018
36,South_East,Male,Widowed,Conservative,0,No_religion,English,BLACK,2018
37,North_West,Female,Widowed,Labour,1,Church_of_England,British,BLACK,2018
38,West_Midlands,Female,Not_married,None,2,No_religion,British,BLACK,2018
40,West_Midlands,Female,Widowed,Conservative,1,Church_of_England,British,BLACK,2018
41,Wales,Male,Not_married,Labour,2,Non_Christian,Other,BLACK,2018
43,East_of_England,Female,Separated_after_marrying,Conservative,2,Other_Christian,English,BLACK,2018
44,North_West,Female,Married,Conservative,2,Church_of_England,British,BLACK,2018
45,North_West,Male,Married,Labour,1,Non_Christian,British,BLACK,2018
46,West_Midlands,Male,Married,Conservative,2,Church_of_England,English,BLACK,2018
47,North_West,Male,Married,Conservative,2,No_religion,British,BLACK,2018
48,Yorkshire_and_The_Humber,Female,Not_married,Conservative,2,Other_Christian,British,BLACK,2018
49,South_West,Male,Married,None,1,No_religion,English,BLACK,2018
50,London,Female,Married,Labour,0,Non_Christian,British,BLACK,2018
51,Wales,Female,Not_married,Plaid_Cymru,2,No_religion,Welsh,BLACK,2018
55,North_West,Female,Living_as_married,Labour,2,No_religion,Other,BLACK,2018
56,North_East,Female,Married,Conservative,2,Church_of_England,British,BLACK,2018
57,South_West,Male,Married,Labour,0,No_religion,British,BLACK,2018
58,South_East,Female,Separated_after_marrying,Green_Party,0,No_religion,European,BLACK,2018
59,London,Female,Not_married,Labour,2,Other_Christian,British,BLACK,2018
60,Scotland,Male,Widowed,Conservative,2,No_religion,Scottish,BLACK,2018
62,Yorkshire_and_The_Humber,Female,Separated_after_marrying,Conservative,2,No_religion,British,BLACK,2018
64,London,Female,Separated_after_marrying,Conservative,2,No_religion,British,BLACK,2018
65,Yorkshire_and_The_Humber,Male,Separated_after_marrying,Conservative,2,No_religion,British,BLACK,2018
66,South_West,Male,Married,Conservative,1,No_religion,English,BLACK,2018
68,Wales,Female,Not_married,Labour,2,Other_Christian,British,BLACK,2018
69,London,Female,Not_married,None,0,No_religion,British,BLACK,2018
70,North_East,Male,Married,Liberal_Democrat,2,No_religion,European,BLACK,2018
71,South_West,Female,Not_married,Labour,1,No_religion,British,BLACK,2018
73,London,Female,Married,Labour,2,Roman_Catholic,Other,BLACK,2018
74,East_Midlands,Female,Separated_after_marrying,Conservative,2,No_religion,English,BLACK,2018
75,North_East,Male,Married,None,2,No_religion,English,BLACK,2018
76,East_Midlands,Female,Living_as_married,None,2,Roman_Catholic,English,BLACK,2018
78,East_of_England,Male,Married,Labour,2,Other_Christian,Other,BLACK,2018
80,South_East,Male,Not_married,Conservative,2,No_religion,British,BLACK,2018
82,Wales,Male,Married,Labour,2,No_religion,Welsh,BLACK,2018
85,North_West,Female,Not_married,Labour,0,Roman_Catholic,English,BLACK,2018
88,East_of_England,Female,Widowed,Conservative,0,Other_Christian,British,BLACK,2018
89,East_Midlands,Female,Married,Labour,0,Non_Christian,Other,BLACK,2018
90,North_East,Male,Married,Conservative,2,Church_of_England,English,BLACK,2018
91,Scotland,Male,Married,Conservative,0,No_religion,British,BLACK,2018
92,West_Midlands,Male,Married,Conservative,0,No_religion,British,BLACK,2018
93,Scotland,Male,Separated_after_marrying,Scottish_National_Party,2,No_religion,Scottish,BLACK,2018
94,West_Midlands,Female,Separated_after_marrying,None,1,Church_of_England,British,BLACK,2018
95,East_Midlands,Female,Married,Labour,0,No_religion,English,BLACK,2018
96,West_Midlands,Male,Separated_after_marrying,Conservative,0,No_religion,English,BLACK,2018
97,East_of_England,Female,Separated_after_marrying,None,0,No_religion,Other,ASIAN,2018
98,London,Female,Widowed,Conservative,2,Church_of_England,English,BLACK,2018
99,London,Male,Not_married,Labour,0,No_religion,British,BLACK,2018
103,London,Female,Not_married,Labour,0,Church_of_England,Other,BLACK,2018
104,London,Male,Not_married,Labour,0,No_religion,British,BLACK,2018
105,London,Male,Separated_after_marrying,Conservative,2,No_religion,English,BLACK,2018
106,East_of_England,Female,Living_as_married,None,2,No_religion,European,BLACK,2018
107,South_West,Male,Married,Labour,2,Other_Christian,English,BLACK,2018
108,East_Midlands,Male,Married,Conservative,0,Non_Christian,Other,ASIAN,2018
109,Scotland,Female,Separated_after_marrying,Conservative,1,Other_Christian,Scottish,BLACK,2018
111,Scotland,Female,Married,Labour,0,No_religion,Scottish,BLACK,2018
112,West_Midlands,Female,Separated_after_marrying,other,1,No_religion,British,ASIAN,2018
