,Region,Gender,Family,Political,confidence_level,Religon,Nationity,Color,year,AgeGroup,Age,GP_Sources,GP_Sources_Level
1,North_West,Female,Married,Labour,For,No_religion,English,BLACK: of other origin,2018,Above65,67,26.534,1
4,North_West,Female,Married,Labour,For,Other_Christian,English,BLACK: of other origin,2018,Above65,70,26.534,1
5,Yorkshire_and_The_Humber,Male,Married,Labour,For,Other_Christian,British,BLACK: of other origin,2018,46-65,59,23.363,1
7,North_West,Male,Married,Labour,Against,Church_of_England,British,BLACK: of other origin,2018,46-65,48,26.534,1
8,London,Male,Not_married,Labour,Neither,No_religion,British,BLACK: of African origin,2018,26-45,41,22.149,0
10,East_Midlands,Female,Living_as_married,Labour,For,No_religion,British,BLACK: of other origin,2018,26-45,42,20.295,0
11,London,Male,Widowed,Conservative,Against,Other_Christian,Other,BLACK: of African origin,2018,46-65,50,22.149,0
12,Scotland,Male,Married,Conservative,For,Other_Christian,British,BLACK: of other origin,2018,46-65,47,25.729,1
13,London,Male,Married,Labour,For,Roman_Catholic,European,BLACK: of Caribbean origin,2018,26-45,36,22.149,0
14,North_West,Male,Not_married,Labour,Against,Church_of_England,English,BLACK: of other origin,2018,46-65,59,26.534,1
15,Scotland,Female,Not_married,None,Neither,Other_Christian,Scottish,BLACK: of other origin,2018,18-25,23,25.729,1
16,South_East,Female,Not_married,Labour,Against,No_religion,English,BLACK: of other origin,2018,18-25,23,20.383,0
17,East_of_England,Female,Not_married,None,For,Other_Christian,English,BLACK: of other origin,2018,26-45,32,17.699,0
18,East_of_England,Female,Living_as_married,Conservative,Neither,No_religion,Other,BLACK: of other origin,2018,26-45,32,17.699,0
19,East_of_England,Female,Married,Conservative,Against,No_religion,English,BLACK: of other origin,2018,Above65,84,17.699,0
21,West_Midlands,Male,Married,None,For,No_religion,English,BLACK: of other origin,2018,46-65,53,22.106,0
22,South_East,Male,Married,Conservative,Against,Other_Christian,English,BLACK: of other origin,2018,26-45,39,20.383,0
23,East_of_England,Male,Living_as_married,Other_Small_Parties,Against,No_religion,English,BLACK: of other origin,2018,18-25,23,17.699,0
